STATION,NAME,DATE,PRCP,TAVG,TSUN
USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",1990,50.44,54.4,140182
USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",1991,37.56,54.8,142754
USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",1992,44.22,52.6,124112
USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",1993,50.78,52.0,121961
USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",1994,31.63,53.3,145735
USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",1995,35.49,52.7,147627
USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",1996,56.85,51.3,
USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",1997,32.91,51.5,
USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",1998,47.03,56.0,
USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",1999,32.40,54.5,
USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",2000,40.48,52.6,
USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",2001,41.91,54.2,
USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",2002,39.75,54.4,
USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",2003,52.58,52.0,
USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",2004,48.88,53.5,
USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",2005,43.74,53.9,
USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",2006,51.06,54.5,
USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",2007,36.75,55.0,
USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",2008,49.04,52.7,
USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",2009,48.68,53.1,
USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",2010,33.89,54.6,
USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",2011,49.65,55.1,
USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",2012,38.04,56.8,
USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",2013,45.93,52.4,
USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",2014,41.62,50.0,
USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",2015,48.18,53.7,
USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",2016,45.97,55.7,
USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",2017,47.45,55.6,